"","plotID","Site","Plot.x","mg.total.soil..aim.5000.","Total.N","field_mean_annual_temperature_C","field_mean_annual_precipitation_mm","field_domint_plant_species","CDI","pct.N.soil_FLF","pct.N.soil_OLF","pct.N.soil_HF","pct.C.soil_FLF","pct.C.soil_OLF","pct.C.soil_HF","C.N_FLF","C.N_OLF","C.N_HF","Sample.mass_FLF","Sample.mass_OLF","Sample.mass_HF","fraction.mass_FLF","fraction.mass_OLF","fraction.mass_HF","Total.fractions.mass_FLF","Total.fractions.mass_OLF","Total.fractions.mass_HF","Total.C_FLF","Total.C_OLF","Total.C_HF","mg.C_FLF","mg.C_OLF","mg.C_HF","mg.N_FLF","mg.N_OLF","mg.N_HF","mg.C.per.g.soil_FLF","mg.C.per.g.soil_OLF","mg.C.per.g.soil_HF","mg.N.per.g.soil_FLF","mg.N.per.g.soil_OLF","mg.N.per.g.soil_HF","proportion.C_FLF","proportion.C_OLF","proportion.C_HF","proportion.N_FLF","proportion.N_OLF","proportion.N_HF","CAMSno","Site.y","Plot.y","fraction","d13C","fractionModern","fMerror","d14C","del14Cerror","X14C.age","X14Cageerror","yr","decayRate","turnoverTime","fractionAngiosperm","plotBA","A","E","B","ER","Fe....","FeOx","meanNitrogenPercent","meanOrganicCarbonPercent","meanCNratio","meanorganicd13C","meand15N"
"23","LENO_003","LENO","003",5151.9,12.449011,18.1,1386,"Liquidambar styraciflua (sweetgum)|Carpinus carolinia (American hornbeam)|Ilex decidua (possumhaw)",1.236048449,0.521766666666667,0.872592592592593,0.223,12.0042820512821,24.7985185185185,2.15,23.006993006993,28.4193548387097,9.6,9.897,22.535,35.011,39,56.7,5269.4,5365.1,5365.1,5365.1,132.03453,132.03453,132.03453,4.68167,14.06076,113.2921,0.203489,0.49476,11.750762,0.908726877462684,2.72923775694404,21.9903530736233,0.0394978551602321,0.0960344727188028,2.28085987693861,0.0354579214997774,0.106493051476761,0.858049027023461,0.0163457964652774,0.0397429161240198,0.943911287410703,187553,"LENO","003","HF",-26.1,0.9984,0.004,-10.1,4,"modern",NA,"2021",0.0754808273859903,13.2483974358978,1,2.09467889292957,0.0336955592517214,0.966304440748279,0,0,1.51,15.10048515,0.256666666666667,2.63333333333333,10.3333333333333,-26.7,7.63333333333333
"24","LENO_005","LENO","005",5699.5,3.314567,18.1,1386,"Liquidambar styraciflua (sweetgum)|Carpinus carolinia (American hornbeam)|Ilex decidua (possumhaw)",1.236048449,0.371015337423313,0.661038306451613,0.051,7.50368098159509,13.6819556451613,0.49,20.2247191011236,20.6976744186047,9.6,9.967,20.136,35.07,32.6,49.6,5619.1,5701.3,5701.3,5701.3,36.76604,36.76604,36.76604,2.4462,6.78625,27.53359,0.120951,0.327875,2.865741,0.429195543468725,1.19067462058075,4.8308781472059,0.0212213352048425,0.0575269760505308,0.502805684709185,0.0665342256060212,0.18457930198629,0.748886472407689,0.0364907392126935,0.0989194063658994,0.864589854421407,187500,"LENO","005","HF",-27.8,0.9634,0.0024,-44.8,2.4,"300",20,"2021",0.00318403343069853,314.067054183101,1,1.36956867795267,0.983726815572297,0.0162731844277031,0,0,0.32,3.248991935,0.0866666666666667,0.993333333333333,11.2,-27.6333333333333,4.56666666666667
"25","LENO_006","LENO","006",5153.2,10.345172,18.1,1386,"Liquidambar styraciflua (sweetgum)|Carpinus carolinia (American hornbeam)|Ilex decidua (possumhaw)",1.236048449,0.115531531531532,0.820192771084337,0.182,3.13585585585586,25.1772289156627,1.67,27.1428571428571,30.6967213114754,9.2,17.363,22.782,34.833,33.3,41.5,5476,5550.8,5550.8,5550.8,102.94199,102.94199,102.94199,1.04424,10.44855,91.4492,0.038472,0.34038,9.96632,0.202639136847008,2.02758480167663,17.7460995109835,0.00746565241015291,0.0660521617635644,1.93400605449041,0.0101439655479751,0.101499397864759,0.888356636587266,0.0037188361875472,0.0329023045726064,0.963378859239846,187554,"LENO","006","HF",-26.4,1.0259,0.0041,17.1,4.1,">modern",NA,"2021",-0.00479134372928977,-208.70971829613,1,2.1508560673629,0.0327384332248211,0.967261566775179,0,0,1.31,13.08649709,0.243333333333333,2.38333333333333,9.7,-26.5666666666667,6.96666666666667
"26","LENO_062","LENO","062",5309.5,6.649305,18.1,1386,"Liquidambar styraciflua (sweetgum)|Carpinus carolinia (American hornbeam)|Ilex decidua (possumhaw)",1.236048449,0.326326530612245,0.785397196261682,0.126,9.51122448979592,23.2710280373832,1.14,29.1463414634146,29.6296296296296,9.1,10.047,21.375,35.03,34.3,21.4,5055,5110.7,5110.7,5110.7,65.86935,65.86935,65.86935,3.26235,4.98,57.627,0.11193,0.168075,6.3693,0.614436387607119,0.937941425746304,10.8535643657595,0.0210810810810811,0.0316555231189378,1.19960448253131,0.0495275875653851,0.0756042074196876,0.874868205014927,0.0168333382210622,0.0252770778299386,0.957889583948999,187501,"LENO","062","HF",-26.3,0.9621,0.0026,-46.1,2.6,"310",25,"2021",0.00307066944168457,325.661885458892,1,2.66212906598423,0.382085352296839,0.617914647703161,0,0,0.98,9.849779006,0.133333333333333,1.34666666666667,10.0333333333333,-25.9,5.8
"27","LENO_063","LENO","063",5086.3,6.283177,18.1,1386,"Liquidambar styraciflua (sweetgum)|Carpinus carolinia (American hornbeam)|Ilex decidua (possumhaw)",1.236048449,1.00632051282051,0.68022695035461,0.115,10.5062393162393,20.7200709219858,1.18,10.440251572327,30.4605263157895,10.2,10.342,20.433,36.046,46.8,28.2,4887.3,4962.3,4962.3,4962.3,68.43012,68.43012,68.43012,4.91692,5.84306,57.67014,0.470958,0.191824,5.620395,0.966698779073196,1.14878398836089,11.3383284509368,0.0925934372726736,0.037713858797161,1.10500658632011,0.0718531547219265,0.0853872534492121,0.842759591828861,0.0749553927893484,0.0305297781679555,0.894514829042696,187502,"LENO","063","HF",-26.5,1.0096,0.0027,1,2.7,">Modern",NA,"2021",-0.0127212612394661,-78.6085578446914,1,1.61335391167675,0.91260771906731,0.0873922809326906,0,0,0.83,8.334782609,0.13,1.745,13.525,-26.55,4.475
"28","LENO_064","LENO","064",5098.3,4.456766,18.1,1386,"Liquidambar styraciflua (sweetgum)|Carpinus carolinia (American hornbeam)|Ilex decidua (possumhaw)",1.236048449,0.254325167037862,0.512337837837838,0.085,9.55349665924276,20.162972972973,0.79,37.5641025641026,39.3548387096774,9.3,9.783,21.046,34.181,44.9,22.2,4975.1,5042.2,5042.2,5042.2,48.06899,48.06899,48.06899,4.28952,4.47618,39.30329,0.114192,0.113739,4.228835,0.841362807210246,0.877975011278269,7.7090971500304,0.0223980542533786,0.0223092011062511,0.82945981993998,0.089236740776122,0.0931199095300317,0.817643349693846,0.0256221663870169,0.0255205231775687,0.948857310435414,187503,"LENO","064","HF",-26.1,1.0102,0.0026,1.6,2.6,">Modern",NA,"2021",-0.0119800672174035,-83.4719857453968,0.655726213559303,2.75417851613257,0.595652529750659,0.404347470249341,0,0,0.43,4.251712062,0.09,1.00333333333333,10.9,-25.9,5.96666666666667
"29","ORNL_003","ORNL","003",5367.1,2.703165,14.4,1340,"Acer rubrum (red maple)|Nyssa sylvatica (sour gum)|Quercus monta (chestnut oak)",0.964116125,0.264051886792453,0.364131868131868,0.047,9.22466981132076,17.0087912087912,0.4,34.9350649350649,46.7105263157895,8.5,13.346,20.957,46.736,42.4,27.3,5301.7,5371.4,5371.4,5371.4,29.76146,29.76146,29.76146,3.91126,4.6434,21.2068,0.111958,0.099408,2.491799,0.728747368224926,0.865159956028395,3.95125859402657,0.0208600547781856,0.0185217342699037,0.464272884798122,0.131420299944962,0.156020571571422,0.712559128483616,0.0414173755579108,0.036774669692749,0.92180795474934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.579510747251788,0.360121758175037,0.639878241824963,0,0,0.15,1.483870968,0.09,1.13,12.575,-26.375,5
"30","ORNL_021","ORNL","021",5152,4.156922,14.4,1340,"Acer rubrum (red maple)|Nyssa sylvatica (sour gum)|Quercus monta (chestnut oak)",0.964116125,0.170383693045564,0.789923076923077,0.079,3.58153477218225,15.3596153846154,0.69,21.0204081632653,19.4444444444444,8.7,16.969,23.188,34.931,41.7,10.4,5068,5120.1,5120.1,5120.1,38.0601,38.0601,38.0601,1.4935,1.5974,34.9692,0.07105,0.082152,4.00372,0.289887422360249,0.310054347826087,6.7875,0.0137907608695652,0.015945652173913,0.777119565217391,0.0392405695203113,0.0419704625053534,0.918788967974335,0.0170919733398895,0.0197626994203885,0.963145327239722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.000340077404751095,1,0,0,0,0.11,1.134874759,0.09,0.86,9.25,-24.525,4.625
"31","ORNL_029","ORNL","029",5050.2,10.980782,14.4,1340,"Acer rubrum (red maple)|Nyssa sylvatica (sour gum)|Quercus monta (chestnut oak)",0.964116125,0.531771117166213,0.712985074626866,0.213,15.1934604904632,23.9268656716418,2.35,28.5714285714286,33.55871886121,11.1,9.948,21.722,35.376,36.7,67,4839.4,4943.1,4943.1,4943.1,135.3329,135.3329,135.3329,5.576,16.031,113.7259,0.19516,0.4777,10.307922,1.10411468852719,3.17432972951566,22.5190883529365,0.0386440140984516,0.0945903132549206,2.04109183794701,0.0412021023712638,0.118456044317383,0.840341853311353,0.017772868999676,0.0435032769068724,0.938723854093452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.374107719377031,0.619120732826411,0.45991508190524,0.539474735788524,0,0.000610182306235403,0.29,2.870983213,0.17,2.24,12.4,-25.675,4.65
"32","ORNL_037","ORNL","037",5202,3.577693,14.4,1340,"Acer rubrum (red maple)|Nyssa sylvatica (sour gum)|Quercus monta (chestnut oak)",0.964116125,0.398263565891473,0.42604054054054,0.062,15.9567441860465,18.2481081081081,1,40.0657894736842,42.8318584070797,16,10.091,21.225,35.137,64.5,37,5101.9,5203.4,5203.4,5203.4,68.0629,68.0629,68.0629,10.2921,6.7518,51.019,0.25688,0.157635,3.163178,1.97848904267589,1.29792387543253,9.80757400999616,0.0493810073048827,0.03030276816609,0.608069588619762,0.151214538316763,0.0991994170098541,0.749586044673383,0.0718004591226804,0.0440605160923534,0.884139024784966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.23851671257418,0.185767295120849,0.814232704879151,0,0,0.08,0.844162189,0.08,1.87,23,-27,3.5
"33","ORNL_043","ORNL","043",5248.5,2.316572,14.4,1340,"Acer rubrum (red maple)|Nyssa sylvatica (sour gum)|Quercus monta (chestnut oak)",0.964116125,0.382046052631579,0.464618320610687,0.039,13.1920175438596,25.0103053435115,0.64,34.5299145299145,53.8297872340425,16.5,9.865,29.392,34.851,45.6,26.2,5181.1,5252.9,5252.9,5252.9,45.7273,45.7273,45.7273,6.01556,6.5527,33.15904,0.174213,0.12173,2.020629,1.14614842335906,1.2484900447747,6.31781270839288,0.0331929122606459,0.0231932933219015,0.384991711917691,0.131552923527083,0.143299516918777,0.725147559554139,0.0752029291556662,0.0525474710045706,0.872249599839763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.882327438066604,3.08505183980681,0.28020524387667,0.719624440874641,0,0.000170315248688267,0.08,0.780915287,0.048,0.942,20.42,-27.34,7.06
"34","ORNL_046","ORNL","046",5451.9,3.033732,14.4,1340,"Acer rubrum (red maple)|Nyssa sylvatica (sour gum)|Quercus monta (chestnut oak)",0.964116125,0.465511487303507,0.377032520325203,0.046,15.8140266021765,16.8608943089431,0.69,33.9712918660287,44.72,15,9.998,21.411,35.936,82.7,49.2,5354.9,5486.8,5486.8,5486.8,58.32257,58.32257,58.32257,13.0782,8.29556,36.94881,0.384978,0.1855,2.463254,2.39883343421559,1.52159063812616,6.77723545919771,0.0706135475705717,0.0340248353784919,0.451815697279847,0.224239089601161,0.142235844545259,0.633525065853579,0.12689914600235,0.0611458098474091,0.811955044150241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.987890123065967,2.94245180766772,0.656600682353356,0.34326772626644,0,0.000131591380204065,0.07,0.677078086,0.0916666666666667,1.735,19.15,-27.3333333333333,4.31666666666667
"35","ORNL_049","ORNL","049",5072.9,2.797677,14.4,1340,"Acer rubrum (red maple)|Nyssa sylvatica (sour gum)|Quercus monta (chestnut oak)",0.964116125,0.326041958041958,0.365324232081911,0.051,9.03407925407926,11.6447098976109,0.68,27.7083333333333,31.875,13.2,9.913,22.085,34.964,42.9,29.3,5001.5,5073.7,5073.7,5073.7,41.29772,41.29772,41.29772,3.87562,3.4119,34.0102,0.139872,0.10704,2.550765,0.763985097281634,0.672573872932642,6.70429143093694,0.0275723944883597,0.0211003567978868,0.50282185732027,0.0938458588028589,0.0826171517459075,0.823536989451234,0.0499957643430603,0.0382603138246481,0.911743921832292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2.03259552430749,0.87531322679726,0.12468677320274,0,0,0.09,0.890990543,0.09,1.375,15.5833333333333,-26.5166666666667,4.28333333333333
"36","SERC_001","SERC","001",5561.9,6.77919,13.6,1075,"Liriodendron tulipifera (tulip poplar)|Fagus grandifolia (American Beech)|Liquidambar styraciflua (American sweetgum)",0.756473662,0.650073349633252,0.584603399433428,0.115,13.8140586797066,15.6940509915014,1.35,21.25,26.8456375838926,11.8,10.114,21.895,34.968,40.9,35.3,5484.3,5560.5,5560.5,5560.5,85.228,85.228,85.228,5.64995,5.54,74.03805,0.26588,0.206365,6.306945,1.01583092108812,0.99606249662885,13.3116470990129,0.0478038080512055,0.0371033279994247,1.13395512324925,0.066292180973389,0.0650021119819778,0.868705707044633,0.0392200248112238,0.030440952385167,0.930339022803609,187504,"SERC","001","HF",-26,1.0653,0.0029,56.2,2.9,">Modern",NA,"2021",-0.00197338038967826,-506.744672862104,1,2.43337713850574,1,0,0,0,0.39,3.861415753,0.16,1.8075,11.2,-25.775,3.225
"37","SERC_002","SERC","002",5518.3,7.619319,13.6,1075,"Liriodendron tulipifera (tulip poplar)|Fagus grandifolia (American Beech)|Liquidambar styraciflua (American sweetgum)",0.756473662,0.403099737532808,0.385547297297297,0.136,7.76614173228346,13.1803378378378,1.53,19.2660550458716,34.1860465116279,11.2,9.713,20.493,35.447,38.1,29.6,5405.6,5473.3,5473.3,5473.3,89.56596,89.56596,89.56596,2.9589,3.90138,82.70568,0.153581,0.114122,7.351616,0.536197742058243,0.706989471395176,14.9875287679177,0.027831216135404,0.0206806444013555,1.33222477937046,0.033035988225884,0.0435587359304807,0.923405275843635,0.0201567882903971,0.0149779790031104,0.964865232706492,187505,"SERC","002","HF",-26.7,1.0447,0.0028,35.8,2.8,">Modern",NA,"2021",-0.00282706721340799,-353.72346128075,1,1.25903802362142,0.50699132969071,0.49300867030929,0,0,0.3,2.999023438,0.14,2.06666666666667,15.0666666666667,-26.8,3.36666666666667
"38","SERC_003","SERC","003",5143.8,6.875171,13.6,1075,"Liriodendron tulipifera (tulip poplar)|Fagus grandifolia (American Beech)|Liquidambar styraciflua (American sweetgum)",0.756473662,0.355726530612245,0.667603305785124,0.131,8.23787755102041,17.1669421487603,1.54,23.1578947368421,25.7142857142857,11.8,10.397,21.067,35.009,49,12.1,5053.5,5114.6,5114.6,5114.6,83.93766,83.93766,83.93766,4.03656,2.0772,77.8239,0.174306,0.08078,6.620085,0.784742797153855,0.403825965239706,15.1296512306077,0.0338866207861892,0.0157043430926552,1.28700279948676,0.0480899753459889,0.0247469371912441,0.927163087462767,0.0253529694025065,0.0117495259390639,0.962897504658429,187555,"SERC","003","HF",-26.4,1.0758,0.0043,66.6,4.3,">modern",NA,"2021",-0.00171677901744323,-582.486149841979,1,0.452397981496728,0.911635368074568,0.088364631925432,0,0,0.26,2.563408521,0.103333333333333,1.20666666666667,11.9666666666667,-26.7,1.7
"39","SERC_005","SERC","005",5139.9,8.948154,13.6,1075,"Liriodendron tulipifera (tulip poplar)|Fagus grandifolia (American Beech)|Liquidambar styraciflua (American sweetgum)",0.756473662,0.671061538461538,0.785741176470588,0.164,13.4212307692308,14.15,1.71,20,18.0084745762712,10.5,10.115,26.342,34.96,65,42.5,4986.6,5094.1,5094.1,5094.1,100.00841,100.00841,100.00841,8.7238,6.01375,85.27086,0.43619,0.33394,8.178024,1.69727037491002,1.17001303527306,16.5899842409385,0.0848635187455009,0.0649701356057511,1.59108620790288,0.0872306639011659,0.0601324428615553,0.852636893237279,0.0487463671277897,0.037319429236466,0.913934203635744,187556,"SERC","005","HF",-25.8,1.0804,0.0043,71.2,4.3,">modern",NA,"2021",-0.00162547610321442,-615.204368752314,1,1.49658798132629,0.775611317675274,0.224388682324726,0,0,0.49,4.865722031,0.19,2.39,12.1,-26.2666666666667,3.73333333333333
"40","SERC_045","SERC","045",5168.2,5.962938,13.6,1075,"Liriodendron tulipifera (tulip poplar)|Fagus grandifolia (American Beech)|Liquidambar styraciflua (American sweetgum)",0.756473662,0.623463099630996,0.801271186440678,0.107,19.0170479704797,19.3338983050847,1.18,30.5022831050228,24.1290322580645,11,10.105,20.64,36.833,54.2,23.6,5080.3,5158.1,5158.1,5158.1,74.81758,74.81758,74.81758,10.30724,4.5628,59.94754,0.337917,0.1891,5.435921,1.99435780349058,0.882860570411362,11.599307302349,0.0653838860725205,0.0365891412871019,1.05180159436554,0.137764947756931,0.0609856667376838,0.801249385505385,0.0566695477967405,0.0317125551196407,0.911617897083619,187506,"SERC","045","HF",-27.2,1.0366,0.0028,27.7,2.8,">Modern",NA,"2021",-0.00342595915949979,-291.889060389735,1,2.70530947160965,0.353542901785364,0.642375236862634,0,0.0040818613520019,0.12,1.244312562,0.1425,2.18,14.4,-27.35,2.35
"41","SERC_047","SERC","047",5202.4,5.782282,13.6,1075,"Liriodendron tulipifera (tulip poplar)|Fagus grandifolia (American Beech)|Liquidambar styraciflua (American sweetgum)",0.756473662,0.999,1.07429702970297,0.091,19.44,19.5937128712871,1.31,19.4594594594595,18.2386363636364,14.4,10.036,27.722,34.958,96.2,20.2,5059.6,5176,5176,5176,88.93997,88.93997,88.93997,18.70128,3.95793,66.28076,0.961038,0.217008,4.604236,3.59474088882054,0.76078925111487,12.7404198062433,0.184729740119945,0.0417130555128402,0.885021528525296,0.210268566539881,0.0445011393640002,0.745230294096119,0.166203931250672,0.0375298195418349,0.796266249207493,187507,"SERC","047","HF",-27.2,1.0622,0.0026,53.1,2.6,">Modern",NA,"2021",-0.00206570344961974,-484.096591978912,1,3.85746108837799,0.415734427479175,0.584219761407578,0,4.58111132467008e-05,0.22,2.24975025,0.12,1.69333333333333,14.1333333333333,-26.9,3.4
"42","SERC_049","SERC","049",5219.2,4.5633,13.6,1075,"Liriodendron tulipifera (tulip poplar)|Fagus grandifolia (American Beech)|Liquidambar styraciflua (American sweetgum)",0.756473662,0.830740808823529,0.73361568627451,0.077,20.9826286764706,21.3640784313726,1.17,25.2577319587629,29.1216216216216,15.2,10.054,21.334,35.355,54.4,25.5,5096.5,5176.4,5176.4,5176.4,76.49144,76.49144,76.49144,11.41455,5.44784,59.62905,0.451923,0.187072,3.924305,2.18703057939914,1.04380748007357,11.424940603924,0.0865885576333538,0.0358430410790926,0.751897800429185,0.149226501684372,0.0712215641384186,0.77955193417721,0.0990342515284991,0.0409948940459755,0.859970854425525,187508,"SERC","049","HF",-26.8,1.0604,0.0029,51.3,2.9,">Modern",NA,"2021",-0.00212365929487462,-470.885326291965,1,2.11958936647805,0.240095674100369,0.759904325899631,0,0,0.18,1.832923833,0.106666666666667,1.44666666666667,13.3666666666667,-26.4,3.26666666666667
"43","TREE_001","TREE","001",5382.9,3.605202,4.8,797,"Acer saccharum (sugar maple)|Acer rubrum (red maple)|Alnus inca (grey alder)",0.215083774,0.669244288224956,0.252336448598131,0.059,16.2811950790861,7.27570093457944,0.82,24.327731092437,28.8333333333333,13.8,10.211,22.439,34.857,56.9,32.1,5327.8,5416.8,5416.8,5416.8,55.28746,55.28746,55.28746,9.264,2.3355,43.68796,0.3808,0.081,3.143402,1.72100540600791,0.433873934124728,8.11606383176355,0.0707425365509298,0.0150476508944992,0.583960690334207,0.167560600541244,0.0422428521766057,0.79019654728215,0.105625149436842,0.0224675344127735,0.871907316150385,187509,"TREE","001","HF",-26,0.9769,0.0026,-31.5,2.6,"190",25,"2021",0.00511552477199024,195.483365748797,0.00199817287694132,1.21219137936926,0.00127898614107723,0.998721013858923,0,0,0.34,3.444552529,0.10125,1.68375,17.2625,-26.075,3.475
"44","TREE_002","TREE","002",5312.7,4.813858,4.8,797,"Acer saccharum (sugar maple)|Acer rubrum (red maple)|Alnus inca (grey alder)",0.215083774,0.522270742358079,0.783446808510638,0.07,18.9072052401747,32.5668085106383,1.64,36.2019230769231,41.5686274509804,23.6,9.763,10.528,35.006,68.7,112.8,5101.9,5283.4,5283.4,5283.4,133.39577,133.39577,133.39577,12.98925,36.73536,83.67116,0.3588,0.883728,3.57133,2.44494324919533,6.91463097859845,15.7492724979765,0.0675362809870687,0.166342537692699,0.67222504564534,0.0973737772944375,0.275386243506822,0.627239979198741,0.0745348117871362,0.183579989272637,0.741885198940226,187557,"TREE","002","HF",-25.4,1.0181,0.0041,9.4,4.1,">modern",NA,"2021",-0.00680399404675582,-146.972497790001,0.211539668104912,1.0845571092337,0.00101021000057209,0.998989789999428,0,0,0.63,6.263840079,0.218,5.024,25.5,-26.06,3.34
"45","TREE_003","TREE","003",5459.1,7.580941,4.8,797,"Acer saccharum (sugar maple)|Acer rubrum (red maple)|Alnus inca (grey alder)",0.215083774,0.890971659919028,0.593545092838196,0.122,22.0951417004049,10.0027718832891,1.86,24.798927613941,16.8525896414343,15.2,9.818,23.939,35.382,74.1,75.4,5305.9,5455.4,5455.4,5455.4,122.60433,122.60433,122.60433,16.3725,7.54209,98.68974,0.66021,0.447533,6.473198,2.99912073418695,1.38156289498269,18.0780238500852,0.12093751717316,0.0819792639812423,1.18576285468301,0.133539329320588,0.0615156903512299,0.804944980328183,0.0870881332541699,0.0590339642532504,0.85387790249258,187558,"TREE","003","HF",-27,1.0517,0.0042,42.7,4.2,">modern",NA,"2021",-0.00246067010619229,-406.393363126367,0.998997252194219,1.24849405327781,0.998997252194219,0.00100274780578146,0,0,0.26,2.630963973,0.115714285714286,1.74285714285714,15.4428571428571,-26.8142857142857,1.61428571428571
"46","TREE_006","TREE","006",5273.9,4.429154,4.8,797,"Acer saccharum (sugar maple)|Acer rubrum (red maple)|Alnus inca (grey alder)",0.215083774,0.657946026986507,0.524454545454546,0.074,15.7455022488756,18.8415151515151,1.13,23.9312977099237,35.9259259259259,15.1,9.536,24.229,38.326,66.7,26.4,5205.2,5298.3,5298.3,5298.3,74.29517,74.29517,74.29517,10.50225,4.97416,58.81876,0.43885,0.138456,3.851848,1.99136312785605,0.943165399419784,11.152801532073,0.0832116649917518,0.0262530575096229,0.730360454312748,0.141358449008193,0.0669513240228133,0.791690226968994,0.0990821271962998,0.0312601458427501,0.86965772696095,187510,"TREE","006","HF",-26.5,1.0147,0.0026,6,2.6,">Modern",NA,"2021",-0.00834972915015774,-119.764363851384,0.175884650937367,0.220931717965539,0.319944258600279,0.680055741399721,0,0,0.32,3.162175902,0.106666666666667,1.72,16.1,-26.7666666666667,1.58333333333333
"47","TREE_014","TREE","014",5182,3.243474,4.8,797,"Acer saccharum (sugar maple)|Acer rubrum (red maple)|Alnus inca (grey alder)",0.215083774,0.803976501305483,0.728020408163265,0.054,19.043498694517,18.4328571428571,0.83,23.6866359447005,25.3191489361702,15.3,9.653,21.95,42.42,38.3,24.5,5105.9,5168.7,5168.7,5168.7,54.18868,54.18868,54.18868,7.29366,4.51605,42.37897,0.307923,0.178365,2.757186,1.40749903512157,0.871487842531841,8.17811076804323,0.0594216518718641,0.0344201080663836,0.532069857197993,0.134597484197807,0.0833393616526551,0.782063154149538,0.0949361702914838,0.0549919623218808,0.850071867386635,187511,"TREE","014","HF",-26.2,0.9934,0.0026,-15,2.6,"55",25,"2021",0.0182067438629673,54.9247030400648,0.778383998678092,0.426885892955088,0.909220868106151,0.0907791318938491,0,0,0.23,2.261927945,0.101666666666667,1.655,16.1,-26.3166666666667,2.7
"48","TREE_041","TREE","041",5037.1,7.176454,4.8,797,"Acer saccharum (sugar maple)|Acer rubrum (red maple)|Alnus inca (grey alder)",0.215083774,0.377385681293303,0.482379661016949,0.138,7.64879907621247,13.3849491525424,1.72,20.2678571428571,27.7477477477477,12.5,9.958,22.153,35.103,43.3,29.5,4978.8,5051.6,5051.6,5051.6,92.89585,92.89585,92.89585,3.31193,3.94856,85.63536,0.163408,0.142302,6.870744,0.657507295864684,0.783895495423954,17.0009251354946,0.0324408886065395,0.0282507792182009,1.36402771435945,0.0356520770303517,0.0425052357021331,0.921842687267515,0.0227700198454557,0.0198290130473908,0.957400967107153,187559,"TREE","041","HF",-25.9,1.0154,0.0041,6.7,4.1,">modern",NA,"2021",-0.00797569431898689,-125.380933622218,0.99901918962222,1.87058594735636,0.961482619166781,0.0385173808332186,0,0,0.42,4.224112056,0.14,2.18166666666667,15.45,-26.15,3.7
